"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2017","10.56","10.56","10.56","10.56","","1.25%"
"03/21/2017","10.43","10.43","10.43","10.43","","20.02%"
"03/20/2017","8.69","8.69","8.69","8.69","","-7.16%"
"03/17/2017","9.36","9.36","9.36","9.36","","-4.97%"
"03/16/2017","9.85","9.85","9.85","9.85","","7.65%"
"03/15/2017","9.15","9.15","9.15","9.15","","-5.96%"
"03/14/2017","9.73","9.73","9.73","9.73","","1.78%"
"03/13/2017","9.56","9.56","9.56","9.56","","-3.24%"
"03/10/2017","9.88","9.88","9.88","9.88","","-5.90%"
"03/09/2017","10.50","10.50","10.50","10.50","","11.70%"
"03/08/2017","9.40","9.40","9.40","9.40","","-2.08%"
"03/07/2017","9.60","9.60","9.60","9.60","","-1.54%"
"03/06/2017","9.75","9.75","9.75","9.75","","-1.91%"
"03/03/2017","9.94","9.94","9.94","9.94","","-9.22%"
"03/02/2017","10.95","10.95","10.95","10.95","","5.90%"
"03/01/2017","10.34","10.34","10.34","10.34","","-6.17%"
"02/28/2017","11.02","11.02","11.02","11.02","","3.67%"
"02/27/2017","10.63","10.63","10.63","10.63","","-2.39%"
"02/24/2017","10.89","10.89","10.89","10.89","","-5.14%"
"02/23/2017","11.48","11.48","11.48","11.48","","14.57%"
"02/22/2017","10.02","10.02","10.02","10.02","","-0.79%"
"02/21/2017","10.10","10.10","10.10","10.10","","-0.98%"
"02/17/2017","10.20","10.20","10.20","10.20","","-6.51%"
"02/16/2017","10.91","10.91","10.91","10.91","","1.21%"
"02/15/2017","10.78","10.78","10.78","10.78","","14.32%"
"02/14/2017","9.43","9.43","9.43","9.43","","-7.00%"
"02/13/2017","10.14","10.14","10.14","10.14","","-2.22%"
"02/10/2017","10.37","10.37","10.37","10.37","","-2.81%"
"02/09/2017","10.67","10.67","10.67","10.67","","8.66%"
"02/08/2017","9.82","9.82","9.82","9.82","","-3.06%"
"02/07/2017","10.13","10.13","10.13","10.13","","-1.27%"
"02/06/2017","10.26","10.26","10.26","10.26","","-2.38%"
"02/03/2017","10.51","10.51","10.51","10.51","","-10.40%"
"02/02/2017","11.73","11.73","11.73","11.73","","11.71%"
"02/01/2017","10.50","10.50","10.50","10.50","","-6.17%"
"01/31/2017","11.19","11.19","11.19","11.19","","0.54%"
"01/30/2017","11.13","11.13","11.13","11.13","","5.70%"
"01/27/2017","10.53","10.53","10.53","10.53","","-5.73%"
"01/26/2017","11.17","11.17","11.17","11.17","","9.19%"
"01/25/2017","10.23","10.23","10.23","10.23","","-2.11%"
"01/24/2017","10.45","10.45","10.45","10.45","","-7.44%"
"01/23/2017","11.29","11.29","11.29","11.29","","-2.59%"
"01/20/2017","11.59","11.59","11.59","11.59","","-8.60%"
"01/19/2017","12.68","12.68","12.68","12.68","","11.92%"
"01/18/2017","11.33","11.33","11.33","11.33","","-5.66%"
"01/17/2017","12.01","12.01","12.01","12.01","","-1.15%"
"01/13/2017","12.15","12.15","12.15","12.15","","-4.93%"
"01/12/2017","12.78","12.78","12.78","12.78","","7.04%"
"01/11/2017","11.94","11.94","11.94","11.94","","-3.01%"
"01/10/2017","12.31","12.31","12.31","12.31","","-1.76%"
"01/09/2017","12.53","12.53","12.53","12.53","","-1.65%"
"01/06/2017","12.74","12.74","12.74","12.74","","-6.60%"
"01/05/2017","13.64","13.64","13.64","13.64","","4.60%"
"01/04/2017","13.04","13.04","13.04","13.04","","-7.97%"
"01/03/2017","14.17","14.17","14.17","14.17","","-8.46%"
"12/30/2016","15.48","15.48","15.48","15.48","","5.81%"
"12/29/2016","14.63","14.63","14.63","14.63","","10.25%"
"12/28/2016","13.27","13.27","13.27","13.27","","6.67%"
"12/27/2016","12.44","12.44","12.44","12.44","","-0.40%"
"12/23/2016","12.49","12.49","12.49","12.49","","-3.25%"
"12/22/2016","12.91","12.91","12.91","12.91","","11.39%"
"12/21/2016","11.59","11.59","11.59","11.59","","-0.86%"
"12/20/2016","11.69","11.69","11.69","11.69","","-3.07%"
"12/19/2016","12.06","12.06","12.06","12.06","","-6.29%"
"12/16/2016","12.87","12.87","12.87","12.87","","-7.61%"
"12/15/2016","13.93","13.93","13.93","13.93","","5.45%"
"12/14/2016","13.21","13.21","13.21","13.21","","-0.60%"
"12/13/2016","13.29","13.29","13.29","13.29","","0.76%"
"12/12/2016","13.19","13.19","13.19","13.19","","3.78%"
"12/09/2016","12.71","12.71","12.71","12.71","","-5.01%"
"12/08/2016","13.38","13.38","13.38","13.38","","6.53%"
"12/07/2016","12.56","12.56","12.56","12.56","","-1.49%"
"12/06/2016","12.75","12.75","12.75","12.75","","-6.18%"
"12/05/2016","13.59","13.59","13.59","13.59","","-10.18%"
"12/02/2016","15.13","15.13","15.13","15.13","","-2.20%"
"12/01/2016","15.47","15.47","15.47","15.47","","21.81%"
